PERMNO,date,TICKER,COMNAM,RET
11850,19730131,XON,EXXON CORP,0.082857
11850,19730228,XON,EXXON CORP,-0.046702
11850,19730330,XON,EXXON CORP,0.055944
11850,19730430,XON,EXXON CORP,0.019868
11850,19730531,XON,EXXON CORP,-0.014805
11850,19730629,XON,EXXON CORP,0.049268
11850,19730731,XON,EXXON CORP,-0.027919
11850,19730831,XON,EXXON CORP,-0.060313
11850,19730928,XON,EXXON CORP,0.045007
11850,19731031,XON,EXXON CORP,0.017497
11850,19731130,XON,EXXON CORP,-0.037037
11850,19731231,XON,EXXON CORP,0.048747
11850,19740131,XON,EXXON CORP,-0.081009
11850,19740228,XON,EXXON CORP,-0.020520
11850,19740329,XON,EXXON CORP,-0.026906
11850,19740430,XON,EXXON CORP,-0.050691
11850,19740531,XON,EXXON CORP,-0.047249
11850,19740628,XON,EXXON CORP,-0.032759
11850,19740731,XON,EXXON CORP,0.067736
11850,19740830,XON,EXXON CORP,-0.085142
11850,19740930,XON,EXXON CORP,-0.126394
11850,19741031,XON,EXXON CORP,0.165957
11850,19741129,XON,EXXON CORP,-0.061314
11850,19741231,XON,EXXON CORP,0.029880
11850,19750131,XON,EXXON CORP,0.131528
11850,19750228,XON,EXXON CORP,0.075214
11850,19750331,XON,EXXON CORP,-0.043619
11850,19750430,XON,EXXON CORP,0.094595
11850,19750530,XON,EXXON CORP,0.097222
11850,19750630,XON,EXXON CORP,0.055635
11850,19750731,XON,EXXON CORP,-0.059459
11850,19750829,XON,EXXON CORP,0.011494
11850,19750930,XON,EXXON CORP,0.008646
11850,19751031,XON,EXXON CORP,0.018571
11850,19751128,XON,EXXON CORP,-0.021038
11850,19751231,XON,EXXON CORP,0.031977
11850,19760130,XON,EXXON CORP,0.025352
11850,19760227,XON,EXXON CORP,-0.028846
11850,19760331,XON,EXXON CORP,0.077475
11850,19760430,XON,EXXON CORP,0.003995
11850,19760528,XON,EXXON CORP,0.085146
11850,19760630,XON,EXXON CORP,0.037175
11850,19760730,XON,EXXON CORP,0.015532
11850,19760831,XON,EXXON CORP,0.008471
11850,19760930,XON,EXXON CORP,0.049645
11850,19761029,XON,EXXON CORP,-0.054054
11850,19761130,XON,EXXON CORP,-0.012857
11850,19761231,XON,EXXON CORP,0.048900
11850,19770131,XON,EXXON CORP,-0.002331
11850,19770228,XON,EXXON CORP,-0.035047
11850,19770331,XON,EXXON CORP,-0.002457
11850,19770429,XON,EXXON CORP,0.017241
11850,19770531,XON,EXXON CORP,0.004843
11850,19770630,XON,EXXON CORP,0.046455
11850,19770729,XON,EXXON CORP,-0.035047
11850,19770831,XON,EXXON CORP,-0.046005
11850,19770930,XON,EXXON CORP,-0.005155
11850,19771031,XON,EXXON CORP,-0.023316
11850,19771130,XON,EXXON CORP,0.002653
11850,19771230,XON,EXXON CORP,0.034946
11850,19780131,XON,EXXON CORP,-0.049351
11850,19780228,XON,EXXON CORP,-0.020765
11850,19780331,XON,EXXON CORP,0.014205
11850,19780428,XON,EXXON CORP,0.056022
11850,19780531,XON,EXXON CORP,0.009019
11850,19780630,XON,EXXON CORP,-0.061497
11850,19780731,XON,EXXON CORP,0.059829
11850,19780831,XON,EXXON CORP,0.080108
11850,19780929,XON,EXXON CORP,0.050633
11850,19781031,XON,EXXON CORP,-0.074699
11850,19781130,XON,EXXON CORP,0.041146
11850,19781229,XON,EXXON CORP,0.000000
11850,19790131,XON,EXXON CORP,0.040712
11850,19790228,XON,EXXON CORP,-0.019071
11850,19790330,XON,EXXON CORP,0.071066
11850,19790430,XON,EXXON CORP,0.007109
11850,19790531,XON,EXXON CORP,-0.046588
11850,19790629,XON,EXXON CORP,0.082915
11850,19790731,XON,EXXON CORP,0.016241
11850,19790831,XON,EXXON CORP,0.043379
11850,19790928,XON,EXXON CORP,0.051225
11850,19791031,XON,EXXON CORP,-0.025424
11850,19791130,XON,EXXON CORP,0.027826
11850,19791231,XON,EXXON CORP,-0.049569
11850,19800131,XON,EXXON CORP,0.104308
11850,19800229,XON,EXXON CORP,0.093635
11850,19800331,XON,EXXON CORP,-0.114723
11850,19800430,XON,EXXON CORP,0.049676
11850,19800530,XON,EXXON CORP,0.074897
11850,19800630,XON,EXXON CORP,0.035156
11850,19800731,XON,EXXON CORP,0.050943
11850,19800829,XON,EXXON CORP,0.025494
11850,19800930,XON,EXXON CORP,-0.003571
11850,19801031,XON,EXXON CORP,0.091398
11850,19801128,XON,EXXON CORP,0.174056
11850,19801231,XON,EXXON CORP,-0.082504
11850,19810130,XON,EXXON CORP,-0.035659
11850,19810227,XON,EXXON CORP,-0.054662
11850,19810331,XON,EXXON CORP,-0.046875
11850,19810430,XON,EXXON CORP,-0.001821
11850,19810529,XON,EXXON CORP,-0.032847
11850,19810630,XON,EXXON CORP,0.057915
11850,19810731,XON,EXXON CORP,0.021898
11850,19810831,XON,EXXON CORP,-0.050000
11850,19810930,XON,EXXON CORP,-0.042308
11850,19811030,XON,EXXON CORP,-0.024096
11850,19811130,XON,EXXON CORP,0.102881
11850,19811231,XON,EXXON CORP,-0.045802
11850,19820129,XON,EXXON CORP,-0.020000
11850,19820226,XON,EXXON CORP,-0.036735
11850,19820331,XON,EXXON CORP,-0.021739
11850,19820430,XON,EXXON CORP,0.004444
11850,19820528,XON,EXXON CORP,0.017699
11850,19820630,XON,EXXON CORP,-0.008929
11850,19820730,XON,EXXON CORP,-0.063063
11850,19820831,XON,EXXON CORP,0.125000
11850,19820930,XON,EXXON CORP,-0.017544
11850,19821029,XON,EXXON CORP,0.058036
11850,19821130,XON,EXXON CORP,-0.029536
11850,19821231,XON,EXXON CORP,0.062500
11850,19830131,XON,EXXON CORP,0.012605
11850,19830228,XON,EXXON CORP,-0.004149
11850,19830331,XON,EXXON CORP,0.055556
11850,19830429,XON,EXXON CORP,0.145749
11850,19830531,XON,EXXON CORP,-0.024735
11850,19830630,XON,EXXON CORP,0.000000
11850,19830729,XON,EXXON CORP,0.062963
11850,19830831,XON,EXXON CORP,0.081533
11850,19830930,XON,EXXON CORP,-0.039474
11850,19831031,XON,EXXON CORP,0.047945
11850,19831130,XON,EXXON CORP,0.007843
11850,19831230,XON,EXXON CORP,-0.009934
11850,19840131,XON,EXXON CORP,0.063545
11850,19840229,XON,EXXON CORP,-0.011321
11850,19840330,XON,EXXON CORP,0.003247
11850,19840430,XON,EXXON CORP,0.103560
11850,19840531,XON,EXXON CORP,-0.044575
11850,19840629,XON,EXXON CORP,0.021944
11850,19840731,XON,EXXON CORP,-0.058282
11850,19840831,XON,EXXON CORP,0.142671
