%date	retm	tnam
19630628	-0.00484	0
19630731	0.03213	0
19630830	0.06321	0
19630930	0.02751	0
19631031	0.07081	0
19631129	0.01129	0
19631231	0.06858	0
19640131	0.01418	0
19640228	-0.01472	0
19640331	0.01568	0
19640430	-0.02733	0
19640528	0.18583	0
19640630	0.01167	0
19640731	0.03624	0
19640831	-0.01272	0
19640930	0.05636	0
19641030	0.04345	0
19641130	0.01315	0
19641231	0.00865	0
19650129	0.08363	0
19650226	0.05211	0
19650331	0.02759	0
19650430	0.08318	0
19650528	0.03132	0
19650630	-0.13596	0
19650730	0.0623	0
19650831	0.13083	0
19650930	0.13231	0
19651029	0.15737	0
19651130	0.11821	0
19651231	0.08485	0
19660131	0.11376	0
19660228	0.0935	0
19660331	0.02953	0
19660429	0.15314	0
19660531	-0.16945	0
19660630	0.0668	0
19660729	-0.04753	0
19660831	-0.09901	0
19660930	-0.04879	0
19661031	-0.09612	0
19661130	0.12781	0
19661230	0.01541	0
19670131	0.1692	0
19670228	0.04582	0
19670331	0.08616	0
19670428	0.05808	0
19670531	-0.00828	0
19670630	0.15859	0
19670731	0.10909	0
19670831	-0.04454	0
19670929	0.09	0
19671031	-0.03119	0
19671130	-0.00552	0
19671229	0.1344	6.5
19680131	-0.05462	6.5
19680229	-0.08853	6.5
19680329	0.00442	6.5
19680430	0.15729	6.5
19680531	0.17053	6.5
19680628	-0.02234	6.5
19680730	-0.03251	6.5
19680830	0.05456	6.5
19680930	0.07161	6.5
19681031	0.01649	6.5
19681129	0.12453	6.5
19681231	-0.01674	7.1
19690131	-0.0076	7.1
19690228	-0.11111	7.1
19690328	0.03771	7.1
19690430	0.04075	7.1
19690529	0.03496	7.1
19690630	-0.12253	7.1
19690731	-0.1077	7.1
19690829	0.07113	7.1
19690930	-0.006	7.1
19691031	0.06379	7.1
19691128	-0.04741	7.1
19691231	-0.00766	8.2
19700130	-0.07973	8.2
19700227	-0.00047	8.2
19700331	-0.08854	8.2
19700430	-0.12219	8.2
19700529	-0.04562	8.2
19700630	-0.07055	8.2
19700731	0.0363	8.2
19700831	0.04268	8.2
19700930	0.12584	8.2
19701030	-0.02713	8.2
19701130	0.02677	8.2
19701231	0.06247	6.9
19710129	0.08538	6.9
19710226	0.06453	6.9
19710331	0.07832	6.9
19710430	0.04021	6.9
19710528	-0.03501	6.9
19710630	-0.00496	6.9
19710730	-0.04027	6.9
19710831	0.05407	6.9
19710930	0.00657	6.9
19711029	-0.08602	6.9
19711130	-0.02587	6.9
19711231	0.19734	9.2
19720131	0.11205	9.2
19720229	0.07256	9.2
19720330	0.04713	9.2
19720428	0.05879	9.2
19720531	0.02313	9.2
19720630	-0.03166	9.2
19720731	-0.02539	9.2
19720831	-0.03953	9.2
19720929	-0.00343	9.2
19721031	-0.02503	9.2
19721130	0.05424	9.2
19721229	0.03562	11.6
19730131	-0.09553	11.6
19730228	-0.10432	11.6
19730330	-0.00907	11.6
19730430	-0.12193	11.6
19730531	-0.1221	11.6
19730629	-0.04425	11.6
19730731	0.19302	11.6
19730831	-0.02167	11.6
19730928	0.13498	11.6
19731031	-0.0404	11.6
19731130	-0.24787	11.6
19731231	0.02327	6.3
19740131	0.05286	6.3
19740228	-0.03503	6.3
19740329	-0.03146	6.3
19740430	-0.05533	6.3
19740531	-0.10186	6.3
19740628	-0.03706	6.3
19740731	-0.0077	6.3
19740830	-0.07991	6.3
19740930	-0.11636	6.3
19741031	0.16317	6.3
19741129	0.00246	6.3
19741231	-0.05155	4
19750131	0.1113	4
19750228	0.08773	4
19750331	0.03212	4
19750430	0.18787	4
19750530	0	4
19750630	0.05453	4
19750731	-0.06858	4
19750829	-0.01388	4
19750930	-0.02938	4
19751031	0.01009	4
19751128	0.01124	4
19751231	0.01481	5.4
19760130	0.15085	5.4
19760227	0.03858	5.4
19760331	0.02494	5.4
19760430	0.0007	5.4
19760528	0.01856	5.4
19760630	0.07883	5.4
19760730	-0.03201	5.4
19760831	-0.03259	5.4
19760930	0.01855	5.4
19761029	-0.02397	5.4
19761130	0.0334	5.4
19761231	0.06274	22
19770131	0.01521	22
19770228	-0.00044	22
19770331	-0.01454	22
19770429	0.03419	22
19770531	0.00351	22
19770630	0.07524	22
19770729	-0.02482	22
19770831	-0.03296	22
19770930	-0.00259	22
19771031	-0.03114	22
19771130	0.08214	22
19771230	0.04002	22.2
19780131	-0.06624	22.2
19780228	0.04206	22.2
19780331	0.09172	22.2
19780428	0.12284	22.2
19780531	0.06392	22.2
19780630	-0.02384	22.2
19780731	0.12504	22.2
19780831	0.08886	22.2
19780929	-0.03296	22.2
19781031	-0.20836	22.2
19781130	0.1	22.2
19781229	0.03062	26.4
19790131	0.10383	26.4
19790228	-0.04412	26.4
19790330	0.12714	26.4
19790430	0.02006	26.4
19790531	-0.02582	26.4
19790629	0.07375	26.4
19790731	0.02591	26.4
19790831	0.11746	26.4
19790928	-0.00682	26.4
19791031	-0.09596	26.4
19791130	0.10283	26.4
19791231	0.05319	35.1
19800131	0.08628	35.1
19800229	0.00414	35.1
19800331	-0.13496	35.1
19800430	0.08321	35.1
19800530	0.08715	35.1
19800630	0.07827	35.1
19800731	0.08897	35.1
19800829	0.0487	35.1
19800930	0.07822	35.1
19801031	0.06067	35.1
19801128	0.11938	35.1
19801231	-0.03001	53.5
19810130	-0.00932	53.5
19810227	0.0237	53.5
19810331	0.09592	58.81
19810430	0.03087	58.81
19810529	0.0653	58.81
19810630	-0.01012	104.37
19810731	-0.00139	104.37
19810831	-0.07671	104.37
19810930	-0.06999	90.44
19811030	0.10449	90.44
19811130	0.04412	90.44
